UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment,ProcessedTweet
35362,80314,,07-04-2020,[RD] Following a news item on a NYC ICU doctorÂs #COVID19 #coronavirus procedures at...,Neutral,"Following news item on a NYC ICU doctorÂs #covid #covid procedures at work, try and get N95 mask to under DIY DIY shops out. EBayÂs prices for surgical ones are Bought mask for 2 disposables. Looking at UV light to sterilise!"
9557,54509,Melbourne,19-03-2020,"[RD] Cole's Supermarket hires 5000 new staff
Airlines lay off 5000 staff

Pilot...",Neutral,Cole's Supermarket hires 5000 new staff Airlines off 5000 staff Pilot gets at Coles after how he stack shelves and his first day on #covid #coronavirusaus #covid19australia @user http
41752,86704,#NeverBiden,11-04-2020,[RD] On to the next phase of First went the disinfectants and Now hair clippers and h...,Neutral,On the next phase First went the disinfectants and Now hair clippers and hair dye are flying off shelves
40744,85696,Washington D.C,10-04-2020,[RD] Will this drastic change in consumer behavior stabilize once we flatten the curv...,Neutral,"Will this drastic in consumer behavior stabilize once we flatten curve, is this our new normal? #PostCovid19 http"
31969,76921,"Georgia, USA",04-04-2020,[RD] At the grocery store. This time they cleaned out Little Debbie's. Why oh WHY do ...,Neutral,"At the grocery store. This time they cleaned out Little Debbie's. Why oh WHY do you have to take all the ding dongs, ho hos, and #panicbuyers #covid #CoronavirusUSA #StayAtHome http"
39691,84643,San Francisco,09-04-2020,"[RD] UBS research shows Amazon's private labels losing share amid COVID-19, despite o...",Neutral,"UBS shows Amazon's private labels losing share amid covid, despite overall surge in online shopping. Failing to take advantage of increased traffic, in essential categories. https://t.co/WRrlKpGSXo http"
4552,49504,A White Room,17-03-2020,[RD] Everyone who works at a supermarket right now: #coronavirus https://t.co/IOb3ISs...,Neutral,Everyone who works at a supermarket #covid http
17688,62640,"Boise, ID",21-03-2020,"[RD] Give me #girlscoutcookies, not #toiletpaper I will survive the #coronavirus #cov...",Neutral,"me #girlscoutcookies, not #toiletpaper I will survive the #covid #covid #coronavirusmemes? http"
33717,78669,Silicon Valley California,06-04-2020,[RD] @lisekimhorton This article says there are five states with gas prices below $1:...,Neutral,"@user This article there are five states with gas prices below $1: Kentucky, Tennessee, Oklahoma, Wisconsin and Missouri. http"
7197,52149,Australia,18-03-2020,[RD] Early estimates from the Bureau of Statistics show that retail trade rose by 0.4...,Neutral,Early from the of Statistics show retail trade rose by 0.4% in February #ausbiz #ausecon #markets #auspol
