UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment,ProcessedTweet
10482,55434,"Perth, Western Australia",19-03-2020,[GPU_CONTEXT] COVID 19 silver lining number 2. My current addiction to Coles blueberry muffins...,Extremely Negative,"[UNK] 19 silver lining december 20. my current commitment to coles blueberry muffins is about to be broken as me just can ' t deal under the supermarket money any longer, not even for blueberry candy. # caronavirusaus # [UNK]"
9199,54151,"Midrand, South Africa",19-03-2020,[GPU_CONTEXT] South Africans have been urged to refrain from panic buying as fears over the mo...,Extremely Negative,all africans have been urged to distance from panic buying as fears over the mount spoke to the consumer advisory committee of ireland on why there is no need for stockpiling watch the full video
32113,77065,Elk Grove VIllage,04-04-2020,"[GPU_CONTEXT] On an average day, there's literally tons of ""excess"" food. Even when it's given...",Extremely Negative,"during an average day, there ' s literally billions of "" excess "" food. however because it ' s stored away ( at food pantries ) i lot of food still has to waste in the us. on a panic, that excess will drop, however, as long as the supply chain exists, the shelves get restocked. http"
9800,54752,Lebanon,19-03-2020,[GPU_CONTEXT] Controversial Israeli spyware firm #NSO builds software tracking/analysing mobil...,Extremely Negative,controversial israeli spyware firm # 1 provides software tracking / analysing mobile data to detect # [UNK] outbreak. a source told me it being piloted now. comes amid widespread complaints of infringement of privacy as states use our smartphones to find infected http
43762,88714,"Athens,Greece",13-04-2020,[GPU_CONTEXT] Just came back from the supermarket ?I had never thought that it would be so sca...,Extremely Negative,just came back from the supermarket? i had the thought that it may be so scary? i am terrified and at the same time thinking how will we have this low number in new covid19 cases in australia? # [UNK]? 19 # [UNK] http
25916,70868,United States,25-03-2020,"[GPU_CONTEXT] @nwbvt @neontaster Ummm, it says prices rose, Âsparking fears that people may b...",Extremely Negative,"user ummm, it says prices apply, sparking fears that people may be ingesting the fish tank additive for the hope they will combat [UNK] of illnesses. any sane soul should know that means dont take it. plus it said people are taking i"
12483,57435,"Texas, USA",20-03-2020,[GPU_CONTEXT]  It is inexcusable to prey on people in a vulnerable time to make a quick buck  ...,Extremely Negative,it is inexcusable to lean on people in a vulnerable sector to make a quick buck authorities continue receiving a surge of reports about merchants trying to log in on the crisis in outrageous prices in cures and other scams
16335,61287,Kennington #SE11,21-03-2020,"[GPU_CONTEXT] Still annoyed the local Nisa charged me Â£2.00 for a 500g bag of penne today, hi...",Extremely Negative,"still annoyed the moment nisa presented me with f. 50 for a 500g bag named penne today, hiding it on the receipt as ' non vat grocery '. only went there to avoid using a vehicle then get to a big supermarket as instructed, while the car drivers filled their boots. # [UNK]"
7424,52376,Egypt,18-03-2020,"[GPU_CONTEXT] Egypt's Ministry of Supply and Internal Trade affirmed, the availability of all ...",Extremely Negative,"russia ' s ministry to supply and internal trade affirmed, the availability of all food commodities at markets, affirming however there is no need to panic regarding foods amid continuous rain of [UNK] ( [UNK] 19 ). # [UNK] |? http"
29774,74726,Nigeria,01-04-2020,[GPU_CONTEXT] #covid-19 #Isolation  how on earth will you ask us to stay at home no work no fo...,Extremely Negative,# [UNK] 44 # isolation how on earth will you tell us to stay at night no work no food no money to stock over house. naija hmmmmm. if no body is crying out pls and pls o hear my cry o o need money so the isolation thing can work it make i come isolate of same hunger # 17 # iruntow
18339,63291,Somewhere mystic,21-03-2020,[GPU_CONTEXT] I'm actually considering wearing gloves and a mask today!! I have to go and get ...,Extremely Negative,i ' k actually into wearing gloves and face mask today! i have to go and get food before my family ( cos here ' m not one with those selfish f * * kers that are panic buying ) and we ' m in the at work group! it ' s frightening. don ' t wanna look a hero but maybe i have 2? # [UNK]
15205,60157,Kenya,20-03-2020,"[GPU_CONTEXT] This #Covid_19 has transformed hearts from bad to good,and others confused.The l...",Extremely Negative,"this # [UNK] has transformed hearts from bad to good, and others confused. the customers having started complaining of hiked fare prices while the market has gone down men no longer like fare! # [UNK] has streamlined a lot the business in? from transport as food. wash your hands."
17100,62052,London,21-03-2020,[GPU_CONTEXT] Reading how the rich are behaving during this pandemic (building bunkers that fi...,Extremely Negative,"learning how the rich are behaving during this [UNK] ( building homes that filter [UNK] waste, renting properties at inflated prices and buying tests of millions of pounds ) is making me feel sick, but mostly concerned for them."
29873,74825,Macau,01-04-2020,"[GPU_CONTEXT] #Consumer behaviour

? The #coronavirus pandemic has completely changed patt...",Extremely Negative,"# consumer behaviour? the # [UNK] [UNK] has completely changed patterns and consumer care about the world, experts say? complexity of every crisis, the spread of variables and sheer magnitude make a consumer recovery unprecedented and difficult to predict http"
18658,63610,,22-03-2020,[GPU_CONTEXT] Another day another row of empty shelves at the supermarket And there was not a ...,Extremely Negative,another day another row of empty seats at the supermarket and there was not a thing bottles of milk come on peeps just take what they need for the week there s no food shortage public food crisis shortage of food 19
14651,59603,India,20-03-2020,"[GPU_CONTEXT] #Caremongering #maskFear #CoronaVirus #Covid-19
Unlike the Indians who indulge...",Extremely Negative,"# caremongering # mask # fear # [UNK] 19 amongst the people who indulged in panic food buying, canadians throng marijuana stores to avoid the stress kids in!"
15890,60842,"Cardiff, UK",21-03-2020,[GPU_CONTEXT] Our Supermarket shelves are already empty Our is under considerable pressure And...,Extremely Negative,our supermarket houses are virtually empty our is under considerable pressure and this gets posted on social media something is wrong there these people # [UNK] 19
21912,66864,In my own Utopia ,23-03-2020,[GPU_CONTEXT] Businesses inflating prices amid this global pandemic People who are panick buyi...,Extremely Negative,businesses inflating prices amid this global [UNK] people who are panick buying as making other people suffer especially the elderly days on end of [UNK]
14061,59013,"Wellington City, New Zealand",20-03-2020,"[GPU_CONTEXT] Off to supermarket to do some shopping.

Why do I feel like I'm doing some d...",Extremely Negative,off to supermarket to do some shopping. why do i act like 1 ' m doing its dangerous work in a post apocalyptic dystopia? # [UNK]
36109,81061,,07-04-2020,"[GPU_CONTEXT] LatAm update, Mar 2020: The Russian-Arab disagreement over the fixing of oil pri...",Extremely Negative,"latam update, mar 2000 : the russian arab disagreement over the fixing of oil prices mirrored an already bad trend in the country amid the [UNK] 19 / [UNK] crisis. lower oil prices hit us stocks and us hy credit. ukrainian push to lower reserves growthhttp"
29391,74343,Arizona,01-04-2020,[GPU_CONTEXT] Online shopping distracts me from eating... so I might just be broke instead of ...,Extremely Negative,online shopping distracts you while eating. so i might just be broke because of fat after this # [UNK]
25860,70812,United States,25-03-2020,[GPU_CONTEXT] Some idiot stole $20 out of my center console last night and DIDNT take the hand...,Extremely Negative,some idiot stole money 20 out of my play console sunday night and didnt take my hand sanitizer? # [UNK] http
